QueryText,KccAns
Farmer asked seed treatment of white grub control GROUNDNUT crop,30  FS
seed treatment,seed treatment-rubbing of thirum 5gm kg of seed
plant protection of groundnut,spray Dimethoate 30 EC 1 literhectare
Asking about Late leaf spot management for Groundnut Carbendazim fungicide can be spray,:       :  2  1         2  1
weed management,imazethapyr 10sl
Termites in ground nut,Recommended to spray Chloropyriphos 15  DP  10 kg for Termites in ground nut
TELL ME ABOUT BLACK SPOT IN LEAVES CONTROL IN GROUNDNUT,8   64    2
FARMER NEED INFORMATION ABOUT CONTROL WHITE GRUB IN GROUNDNUT,6
TELL ME NUTRIENT MANAGEMENT,USE QUINOLPHOS 15 DUST 25 KG PER HA MIX IN SOIL
2         TELL ME ROOT ROT CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER
ask about wilt in ground nut,I suggested to spray mencozeb 30 gm pump for wilt in ground nut
Attack of White Grub,PhorateThimet 5kgAcre Application
Information regarding crops insurence,Information regarding crops insurence Please contact to nearest bank for crops insurence
TELL ME NO GORTH IN GROUNDNUT,SPRAY MICRO NUTRIENT 4 GLIT WATER
root rot in ground nut,Recommended to spray Metalaxyl-MancozebRidomil 25gm per litre of water to control root rot in ground nut
asked for groundnut fertilizers,recommended-gypsum application at 200kg per acre
harbicidi information,spray persuit 15 litar  ha
asking about fertilizer dose in groundnut after 60 days,i have suggested for nitrogen based fertilizer used in groundnut
FIRST IRRIGATION IN GNUT,18 DAS
asking for the root rot management in groundnut,recommended for the spot drenching with carbendazim at the rate of 2 gram in 1 litre of water
TELL ME WEATHER INFORMATION OF JAISALMER,RAINFALL 100 MM NEXT FIVE DAYS OF JAISALMER
ASKED ABOUT TO IRRIGATION IN GROUNDNUT CROP,30  35
seed treatment,seed treatment for gnut - use thiram 2gm bavistin 2gm OR tricoderma 5gm  kg of seed gram
asked about fertilizer management in groundnut,:      :  200
ask for grounndut white grub information,suggest: drenching with cloropayriphose
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-- -    RHRG-6083     -
Asking about Stem rot management in groundnut,:     :
ASK ABOUT THE THRIPS IN THE GNUT,I SUGGESTED MONOCROTOFOS 25 ML IN 10 LITRE OF WATER
RUST MANAGEMENT IN GROUNDNUT,RUST MANAGEMENT IN GROUNDNUT:RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS  ACRE
TELL ME WEATHER INFORMETION,NO RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DISTIC
asking about groundnut red spider mite management,recommended for spray Spiromesifen Miticide 2 ml  1 lit of water
Farmer needs information regarding function of pseudomonas,-3-                         -
TELL ME VARITIES OF GROUNDNUT,TG-37M-13CHANDRA
ASKED ABOUT TO SEED TREATMENT,75  WP JATAYU 25
tell me white grub control in ground nut,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
TELL ME ABOUT INSECT CONTROL IN GRONDNUT,145   1
Thrips control in groundnut,recommended for spray dimethoate 2mlteepol 1mllit of water
Ask about Plant Growth Retardant Information  information in Groundnut crop,SL -20
Farmer wants to know information about How to control of fungal attack in Groundnut crop,Recommended for to control of fungal attack spray carbandazim  mancozeb 40gmand streptocyclin 2 gram at 15 liter of water
Ask about growth problem in groundnut,- 5 EC   25 -30
Foliar application in groundnut,Recommended for spray TANU groundnut rich 2 kg  acre
WEEDS IIN GROUNDNUT,RECOMMENDED TO APPLY TARGA SUPER 2 ML IN 1 LITRE WATER TO CONTROL WEEDS IIN GROUNDNUT
Dry root rot in ground nut,Recommended for drench with Fosetyl Aluminium 25 gram litre of water
TELL ME ABOUT DRY ROOT CONTROOL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
fertilizer appilicatin in ground nut,fertilizer appilicatin in ground nut recomended for 8 kg urea20 kg mop32 kg ssp
Information regarding GROUNDNUT varieties,PUNJAB MOONGFLI NO -1 HARYANA MOONGFLI NO -4
ASKED INFORMATION ABOUT GROUNDNUT VARIETIES,GROUNDNUT VARIETIES- TAG-24
Farmer asked query on Weather,WEATHER REPORT : THERE IS A CHANCE OF DRY WEATHER SHOWERS IN YOUR AREA
tell me variety of groundnut,variety of groundnut-type-64type-28chitrachandra
GROUNDNUT SUCKING PEST MANAGEMENT,RECOMMENDED TO USE OXY DEMETON METHYL META SYSTOX 400 ML PER ACRE
MOONGFALI  KYA FERTILIZER DE,SULPHUR 90 8 KGACRE
Farmer asked query on Weather,:   -       : :             36  C    25  C     6
leaf spot management in ground nut,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS  ACRE
Ask about  seed required of TPG -41 number variety,TPG -
season and variety for sesamum,Anippattam  June-July  CO 1 TMV 3TMV 7
Asking about rust management in groundnut,Recommended for spray Carbendazim 2 gram litre of water
asking about thoothukudi weather report,recommended for today have a light rain day
detail for groundnut seed dril,explain the detail
which herbicide use groundnut crop,you can use weedlock 2 mili liter water use for weed control in groundnut crop
Farmer asked leaf spot  control information of groundnut crop,4    68  40
Sucking Pest,Spray Actra 5 gm  regent 10 ml 15 Lit of Water
root rot on groundnut,bavistin 250gmbigha
Farmer asked seed treatment of fungus problem in,DS
GROUNDNUT LEAF MINER CONTROL,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
tell me about weedicide use in ground nut,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
GROUND NUT THRIPS MANAGEMENT,RECOMMENDED TO SPRAY IMIDACLOPRID 80 ML 200 LITRES OF WATER  ACRE
ground nut tobacco catterpiller,RECOMMENDED TO USED CHLORIPYRIPHOS 6MLLITRE FOR ROOT DRENCHING
Asked about management of caterpillar in groundnut,:       :
weed management in  groundnut,spray 2ml targasuper in 1ltr water
VARITIES,VARITIES - JS-335  EGAL DAFTARI
Ask about seed treatments of White Grub in groundnut,DS
asking abt ground-nut fertilizer,Nitrogen-125kghec Phosphrus-25kghec
ASKED ABOUT TO INSECT CONTROL IN  GROUNDUT,15  25
attack of leaf eating cater pillar on groundnut,leaf eating cater pillar on groundnut -spray auvant 75 ml  15lit of Water
How to control over growth of ground not,Need only nitrogen and phosphorous
Asking about Early leaf spot in groundnut,:           :  2
TELL ME WEATHER INFORMATION,LGHAT RAIN FALL  IN 5 DAY
ASKED ABOUT TO INSECT CONTROL IN  GROUND NUT,5  25
TELL ME CONTROL OF ROOT ROT IN GROUNDNOT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
seed treatment,-
SEED RATE OF GNUT PER 1 AC,RECOMMENDED TO APPLY 50KG SEED PER 1 AC
Information About Insect Control in Groundnut Crop,25  EC 2
varieties,fule pragati kpoargaon 1
groundnut nutrient management:,recommended to apply 200kg of gypsum for one acre
farmer want to know information about How to control aphid  in groundnut crop,control  of sucking pest attack in  Spray of fipronil 5  sc 250ml per acre
TELL ME CONTROL OF BIHAR HAIRY CATERPILLOR IN GROUNDNUT,USE CARBOFURAN 3 G 25-30 KG PER HA
FARMER ASKED ABOUT ATTACK OF SUCKING PEST  ON GROUNDNUT,-    30 15     --
Ask about sucking pests problem in crop,pump spray Suitable for young crops
Asking about Thrips in Groundnut,Recommended for spray Azadirachtin 3 ml litre of water
Asked about to    DISEASE CONTROL IN  groundnut,50   250
Information about weather,Kisan bhai aapke shetra mein 9 june aur 10 june ko barish ki sambhavna hai
Asked about Alternaria leaf blight disease management for Groundnut,:         :     Mancozeb    2
Ask about groundnut leaf yellow chlorosis problem,-                        50     15
groundnut seed growth improvement,recommended for apply gypsum 20 kg acre
GROUND NUT SOWING TIME,AUGUST- SEPTEMBER :GROUND NUT SOWING TIME
Farmer asked query on Weather,:       :          23 - 8      10
Farmer asked seed treatment of fungus problem in groundnut crop,Ws                     WP
CATTERPILLAR,Spray Tracer 30 ml  15 lit of water
WHITE GRAB IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
Asking about suitable groundnut varieties for Villupuram district karthigaipattam  chithiraipattam,:     : :      TMV 7  VRI 2  TMVGn 13
farmer asked about soil borne disease management in groundnut,recommended to go for soil application of  Trichoderma viridae  2 kg by mixing it with 90 kg FYM and 10 kg Neem powder in last ploughing
variety,-
Asking about sowing season for ground nut,Recommended for season December-January
ASK ABOUT GJG 32 GROUNDNUT VARITIES CHARACTERISTICS,-           -
Asking about Leaf caterpillar and aphids management in groundnut,:           :  2   05    3      1
herbicide for groundnut,herbicide for groundnutpandamethlyne
farmer asked about using of treated Groundnut seed for consumption,recommended that do not use treated seed for consumption  because treated seeds are poisonous and only used for sowing purpose
WEEDS IN GROUNDNUT,RECOMMENDED TO APPLY TATA PANIDA 30 EC 5ML IN 1 LITRE WATER WITHIN 5 DAYS OF SOWING  TO CONTROL WEEDS IN GROUNDNUT
VARIETY,TAG - 24
