QueryText,KccAns
groundnut collar rot management,groundnut collar rot management : RECOMMENDED TO SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
Asking about Groundnut kadiri variety seeds availability,:      :
FARMER ASKING ABOUT CONTROL OF WILT ATTACK  OF GROUNDNUT,WP -
Ask about blank pod in gram and ground nut,-        100
Farmer asked weed control in Groundnut crop,-         80
Asked about top fertilizer application duration,:       :   20  45
TELL ME  SEED TREATMENT IN  GROUNDNUT,2               20    8ml
TELL ME SEED RATE OF GROUNDNUT,SEED RATE OF GROUNDNUT 80-100 KGHA
ground nut root rot,SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
borax application in ground nut,when seed sowing time borax 4kgacre
FARMER ASKED ABOUT TO SEED TREATMENT IN GROUNDNUT,fir
GROUND NUT HERBICIDE,TARGA SUPER 400ML  ACRE
TELL ME SOWING TIME OF GROUNDNUT,1 JUN TO 15 JUN SOWING TIME OF GROUNDNUT
asking for the basal fertilizer requirement in black gram,recommended for the application of 23 kg Urea  8 kg potash  60 kg super phosphate per acre
asking information about attack of rat on field,APPLICATION OF RAT KILL Zinc phosphide 80
GROUND NUT NUTRIENT MANAGEMENT,GROUND NUT NUTRIENT MANAGEMENTFORMULA 4MAX
ground nut Pod borer management,recommended for spray Malathion 2 ml  lit of water
Farmer asked Army worm Problem in Ground Nut crop,40
Ask about variety of summer groundnut crop,---
farmer want to know information about how to control of sucking pest in groundnut crop,5-7
Moong fali ke beej ko upcharit karna hai kya kare,3    25
ground nut leaf minor control,recommended for spray dimethoate 2ml  liter of water
Asked about nutrient management in ground nut,suggested to apply complex fertilizer
TELL ME DISEASE CONTROAL OF GROUNDNUT,SPARY OF BAVISTIB 250GMBIGA
ask about ground nut larva,i suggest spray profenophos 30 ml  pump
TELL ME ABOUT WEATHER INFORMATION,NO RAIN RAINFALL POSSIBILITE IN 5 DAYS IN YOUR DISTRICT
WEED MANAGEMENT IN GROUNDNUT,WEED MANAGEMENT IN GROUNDNUT--SPRAY ALMIX 8GM20 KG SAND
TELL ME ABOUT BLIGHT CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
Ask about larvae control information in Ground nut crop,Suggested: Emamectin benzoate 5 SC 8  gmpump spray Very costly for larvae control in Cotton crop
Asking about Herbicide application Timings,:    :
FRUIT BORER,APPLY ADVANCE 2ML1LT WATER
HOW TO SEED TREATMENT OF GROUNTNUT CROP,APPLY TO THIREM  03  SOLUTION
sucking pest pro in groundnut,SPINOSAD 75 MLACRE SPRINTER  TRACER
Asking about Sucking pests management for Groundnut,:          :   2
PLANT PROTECTION,DIMETHOATE 17MLL OF WATER
ASK ABOUT CONTACT NUMBEROF GUJARAT RAJYA BIJ NIGAM  OFFICE IN AMRELI,GG-       TG- -AGG -  TPG- TG-  GAUG-  TAG-  SB-
Asking about early leaf spot in groundnut,Recommended for spray Carbendazim 2gm  litre of water
Ask about weed control in groundnut,10 SL
urea use in   groundnut,I suggest do not  use urea ion groundnut
information regarding seed rate of groundnut,seed rate of groundnut 38-40 kgacre
HOW TO CONTROL FUNGGAL ATTACK IN groundnut,RECOMMENDED FOR SPRAY TO MENCOZEB  CARBENDAZIM 35-40 GRAMPUMP
IMPROPER POD FILLING IN GROUNDNUT,RECOMMENDED APPLY 500GM LIMEACRE
ground nut mewed management,RECOMMENDED TO SPRAY IMAZITAPYR PURSUIT  400 ML PER ACRE
MICRONUTRIENT DEFECIENCY IN GROUND NUT,SPRAYING OF ZINC AND IRON SULPHATE 2 AND 5  GM PER ONE LIT OF WATER
fungus attack,Spray Redomil Gold 30gm15Lit of Water
Ask about general information,suggested : all information is provided - Thanks for calling kisan call center
Asked about Early leaf spot management in Groundnut,:       :      2
ask for gnut while grub,chlorophiriphous 20-25 ml pump
ROOT ROT IN GROUNDNUT,RECOMMENDED TO SPRAY SAAF MANCOZEB  CARBENDAZIM-2 GRAM  PLANTOMYCIN 1 GRAM PER LITRE WATER TO CONTROL ROOT ROT IN GROUNDNUT
asking about paddy top dressing fertilizers,recommended for apply urea - 25 kg  potash- 15 kg  neem cake - 5 kg acre
ground nut growth initiation,recommended to spray multi k 1kgacre
WILT IN GROUNDNUT,CARBENDAZIM 10 GMPAMP-DRENCHING
Asking about top fertilizer management for groundnutMN,:   : :      5   20
tikka in gnut,recommended saaf 400gmacre
ASKING ABOUT FERTILIZER USE IN GROUNDNUT,RECOMMENDED FOR APPLY ORGANIC MANURE AND NITROGEN- 8 KGPHOSPHATE-24 KG POTASH- 32 KG PER ACRE
TELL ME DISAESE CONTROL IN  GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
