QueryText,KccAns
FARMER ASKED ABOUT ATTACK OF THRIPS  APHIDS  JASSIDS ON GROUNDNUT,-   178 sl 07
Information about Insect control of Groundnut,-3-20 EC 25ml
Asking about Prevention root rot disease management in groundnut crop,:         :    25
Farmer asked query on Weather,38       10
Farmer asked query on Weather,5              -  -              -  1
Attack of JassidsLeaf hoppers,10
farmer want to know information about  how to control Termite in groundnut crop,moongphali                   -
LEAF EATING CATTER PILLER,neem water 5mllit water
GROUNDNUT SEED TREATMENT,SEEED TREATMENT  WITH FUNGICIDE - CAPTANTHIRAM MANCOZEB 3 GRAMS
ROOT ROT IN GROUNDNUT,APPLY TO ROOT AREA 1 GM PLANTOMYCIN2 GM COPPER OXYCLORIDE PER 1 LITER WATER TO CONTROL ROOT ROT IN GROUNDNUT
attack fungus on  ground nut,Spray Bavistane 30 gm 15 Liter of Water Carbandazin-Basf
gram pod borer in blackgram,Spray Quinalphos 2 mllit
VARIETIES OF GROUNDNUT,GG -3  joyati J L -24
ground nut Late leaf spot:,recommended for Spray Carbendazim 2 gram  1 litre of water
dying of plants and rootgrub,bluecopper 3gms1ltchloropyriphos 3ml1lt
verities of mungphalli,verities of mungphalli :- punjab mungphalli no-1 mungphalli haryana - 4
tell me white grub control in groundnut,CLOROPAIRIPHOS 20 EC 4 LIT  HA WITH IRRIGATION
nutrient management in groundnut,nutrient management in groundnut : recommended to apply urea 9 kgs per acre
groundnut leaf eating caterpillar management,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML 200 LITRES OF WATER  ACRE
ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT,50
TELL ME WEATHER REPORT IN CHURU,LIGHT RAIN MAY BE NEXT 2-3 DAYS
Ask about fungus problem in peanut  crop,WP    WP 10-15
asking about Basal fertilizer management for groundnut,recommended for apply gypsum 80 kg ac
white grub in gnut control,chloro pyriphos 4 lha with irrigation water
moongphali ki bubai kar sakte hai,estime moongphali ki buabi kar seakte
Downy or blight  or Powdery,Spray Bavistane 30 gm15 Liter of WaterCarbandazin-Basf
farmer asked query on ground nut varieties,ground nut varieties :   24  6
ask for groundnut clorosis information,suggest: suggest: spray ferus sulphet 100gm10gm citricy acid
FIRST IRRIGATION,30 DAY AFTER SOWING
Information about weather forecast of Block Gursarai in District Jhansi,35C    31C     7
how to control stem rot in ground nut,mancozeb 25gmliter water or carbendazim 1gmliter water
Asked about weed management in groundnut,-   30   15
Asked about  groundnut stem rot management,:    :  2  1
Ask about groundnut information,120
thrips in gnut,TRIAZOPHOS 25 ML  PUMP
TELL ME CONTROL OF WHITE GRUB IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION
asked for groundnut weedicide,Quizalopop- p- ethyl 5 EC  300 mlacre
FARMER ASKED ABOUT ATTACK OF CATTERPILLAR ON GROUNDNUT,-    5  SG 07 15
FARMER ASKED ABOUT VERITIES OF GROUNDNUT,- -11
root problem in groundnut,USE CARBENDAZIM 1 PER  FOR ROOT ROT
ask for varity of gnut,gg23
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,TELL ME NUTRIENT MANAGEMENT  SPRAY OF ZINK SULPHATE  5 GRAM UREA 10 GRAM PER LITER WATER
Farmer asked query on Weather,:              :         -                    - 29C   -  21C       8
ground nut stem rot management,ground nut stem rot management  10 kg neem cake 2 kg tricoderma viridae  90kg vermicompost
drought tolerant variety for groundnut,recommended for co 7
Give information about mixing urea and bio booster G and spreading it,10        10
ask for groudnut irrigation system information,suggest: apply irrigation 7 to 8 days interval
SUCKING PEST ATTACK IN GROUNDNUT,IMIDACHLOPRID 1ML3 LITRE OF WATER
TELL ME MICRO NUTRIENT MANAGEMENT,3  5
GROUND NUT IRON DEFICIENCY,RECOMENDED TO SPRAY FERROUS SULPHATE 2GRAMSLITERACRE
MARKET RATE OF GROUNDNUT,JAIPUR GRAIN  GROUNDNUT WHITE 4250 RSQ
ROT IN GROUNDNUT,ROT IN GROUNDNUT-SPRAY COPPER OXYCHLORIDE 3GM IN 1LITRE OF WATER
Asking about Tobacco caterpillar in groundnut,Recommended for spray profenophos 2ml  Acephate  1g  lit
Asking about Groundnut leaf miner  management,recommended for the spray  : Dimethiate 2 ml lit of water
ASKED ABOUT  CONTROL OF FLOWER DROPING GROUNDNUT,45   1    4
Ask about seed treatments for white grub control in Ground nut,EC
Asked about Blight management in Groundnut,:       :  1     1
FARMER ASKED ABOUT spraying for increasing flowering in GROUNDNUT,30  15
Asking about Top fertilizer management for Groundnut,:        :     TNAU   2   200
rice me fungus laga,Carbendazim 12  Mancozeb 63 WP
farmer want to know information about  how to increase growth of Groundnut crop,-
moongfali me insect ki samasya hai,Triazophose 40 EC2 ml dava liter pani me spray kare
asked about weed management,recomended pendimethylene at 04- 1 ml litre thiram  2g for seed treatment
Asked about Weed management in  groundnut,Suggested to Spray imazithapyr 2mll
Farmer Asked sucking pests control information of groundnut crop,EC 30
information regarding sowing time of groundnut,information regarding sowing time of groundnutsowing time of groundnut is last week of june -half of july
GROUNDNUT LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 150 LITRES OF WATER  ACRE
ask for diseases in groundnut,carbendezim 15 gm  10 lit water
VERUSENAGA FERTILIZER APPILICATION,UREA 9 KG ACR
Asking about field preparation for groundnut sowing,:      :
fungus attack in ground nut,ap copper oxichloride 50  WP 2 gramliter pani ki dar se ghol banakar chhidkav karen
FARMER ASKED ABOUT FERTILIZER DOSES FOR GROUNDNUT CROP,- -
Asked about Groundnut Top fertilizer application Gypsum  borax,:      :  80    4
TELL ME IN SOIL FOR CONTROL OF WHITE GRUB IN GROUNDNUT,USE QUINOLFOS 5 G 25 KG PER HA IN SOIL FOR CONTROL OF WHITE GRUB IN GROUNDNUT
Asked about Root grub management for Groundnut,:     :     2
ASKING FOR NUTRIENT MANAGEMENT,RECOMMENDED - APPLY DAPMOP
ASKING ABOUT ATTACK OF WILT IN GROUNDNUT,:-
ask for gnut variety information,i suggested gg-20 37
leaf eating caterpiller in ground nut,recomended to spray phosalone 400milligramacre
Asked  about  to  disease  control  in  groundnut,groundnut      80  2
Ask about larvae control information in Groundnut,SG 7-8
groundnut varieties,recommended to varities - narayanikadiri-9 dharani bheema
ASKING SPACING IN GROUND NUT,SPACING IN GROUND NUT -3010 CM
growth in ground nut,recommended to spay multi-k 1kgacre
Information about disease and pest management in Mungfali crop,Carbofuran 03 GR 8        -systemicsucking
TELL ME SEED TREATMENT OF GROUNDNUT FOR CONTROL OF WHITE GURB,USE CHLOROTHELONIL 25 GM PER KG SEED
Farmer wants to know about seed rate of Groundnut crop,100          80
varities of groundnut,--     --      - -  --   -        --   -    --        --
PUSA CAPSULES  PUSA TABLET  USE PROCESS FOR DECOMPOST OF PADDY STRAW,PUSA CAPSULES  PUSA TABLET  USE PROCESS FOR DECOMPOST OF PADDY STRAW:-                     -                                       -
WILT IN GNUT,BAAVISTIN 10 GRAM PRATI PAMP
pest control in groundnut,SPRAY OF THIOMETHOXAM 25 WG 05 GM  PER LITER WATER
ask about larvae information,Suggested: Lambda cyhalothrin 5 EC 7 mlpump spray
Ask about white grub control in groundnut,EC
Asking about thrips management in groundnut 70th day,: 20      :      2
groundnut weedicide,SPRAY Pursuitimazethapyr-
TELL ME FUNGAL DIS CONTROL IN BHINDI,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
AVAILABILITY OF SEEDS,CONTACT AAO IN BLOCK OFFICE
ask about bio pesticide use information in groundnut crop,- - 25 kgha
ask abt heliothis,i sugegsted methyl perathion
TIKKA IN GROUNDNUT,SPRAY MANCOZEB 4 GM PER LITRE
Farmer asked weed control in open field,41 80 ml
Farmer asked query on Weather,26     34      8
TELL ME WHIT GRUB CONTROL IN GROUNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
TELL ME COULAR ROTE OF GROUNDNUT,TRIKODERMA 25 KG  HACTEIR
TELL MEABOUT WHITE GRUB CONTROL IN GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
leaf hopper ki problem,KISAN BHAI - : Quinalphos 25EC  ki 2 ml  liter paani ki dar se spray kare
gypsum application,apply gypsum 150 kgac
Ask about fungus problem in groundnut crop,WP -         250
FARMER ASKED ABOUT THE CONTROL OF INSECT IN GROUNDNUT,40  2
FARMER ASKED ABOUT TO INSECT CONTROL IN,1  5  6
Harvested groundnut can be used in seed purpose or not,Advised to go for planting if it is a Desi variety but if it is Hybrid should not be used again for planting
which fertilizer,apply 1 bag gypsum acre
ASKING ABOUT CONTROL OF STEM ROT OF GROUNDNUT,SPRAY CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER
ASKED ABOUT TO SEED TREATMENT IN GROUNDNUT,50 25
groundnut  Thrips,Spray Fipronil  15 mllit of water
beetle in groundnut,spray dimethoate 2mllit
Asked about varieties,Varieties--SB-11 Phule Unap TAG-24 Phule Unnati
WHITE LAT IN GROUNDNUT,IMIDACLOROPRID 178 SL 1 ML2 LITER WATER SPREY
ASKING ABOUT CONTROL OF WEED IN GROUNDNUT PLANTS,Imazethapyr 10 SL
groundnut season details,groundnut season june  july
fertilizer dose,apply dap  gypsum
Asked about sucking pest and leaf miner management in groundnut,:   2   1
SEASON OF GNUT,SEASON OF GNUT - 15 JAN TO 15 FEB
FRUIT BORER IN GROUNDNUT,RECOMMENDED FOR SPRAY CALDAN 2GM LIT WATER FOR CONTROL OF FRUIT BORER IN GROUNDNUT
early leaf spot in groundnut,Recommended for spray mancozeb 2 gram  carbendazim 3 gram  lit of water
ASKING ABOUT NUTRIENT MANAGEMENT OF GROUNDNUT,RECOMMENDED FOR SPRAY GRADE 2  2-3 ML LIT OF WATER
aphids in groundnut,recommended for spray imidacloprid 05 mllit of water
plant protection of groundnut,Carbendazim 12 Mancozeb 63 WP 2 gramliter pani ki dar se spray kare
Information regarding early varieties of pea nut,Information regarding early varieties of pea nut varieties of pea nut :- mungphalli haryana - 4  punjab mungphalli no -1
Farmer asked query on Weather,JODHPUR      PHALODI       LIGHT                   37    30       9
Ask about flowering problem in grundnut crop,--
Farmer asked about pea  nut cultivation,15   15
pest,provide all infoeramtion
Asked about plant protection in groundnut,Suggested spray Chlorpyriphos at 2 ml per liter water to control insect and carbendizim at 1 gram per liter to control leaf spot
ASKED ABOUT VARIETIES OF GROUNDNUT,VARIETIES OF GROUNDNUT -WESTARN-44 PHULE BHARATI AND WESTARN-55
Asked about groundnut seed treatment,:    :  4   1
GROUNDNUT HERBICIDE PRE-EMERGENCE ---,GROUNDNUT HERBICIDE PRE-EMERGENCE --- PENDAMETHALIN 25 LIT HA
tell me about Triacontanol 005 EC,005
ASKING ABOUT GROWTH DEVELOP IN GROUNDNUT,-  ML
Asked about groundnut leaf roller management,:      :  2     1
Farmer want to know about information control of white grubs in  groundnut crop,40   40   8 gm
Asking about keerthi nutrient composition fertilizer and Uses information,:    :
pest control in groundnut,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
TELL ME WEATHER REPORT,NO RAINFALL NEXT FIVE DAYS
Farmer asked query on Weather,:        :          41       28      8
Ask about groundnut information,7    15
insecet controll in brijal,USE MALATHIAN 50 EC SOLUTION 2 ML PER LITER WATER IN HOLE OF STEM
FARMER ASKED ABOUT YELLOWING OF GROUNDNUT CROP,30
asking can fertilizer doses in gnut after sowing at 45 days,i suggested to 40 kg per acer
gypsum application,500kgha
CULTURAL PRACTICES OF GROUNDNUT,FERTILISER REQUIREMENT OF GROUNDNUT - 30 KG DAP 2 KG UREA AND 27 KG MOP PER ACRE
Asked about Sucking pests and Thrips management for Groundnut Chlorpyriphos can be used,:          : 05  1
TELL ME ROOT ROT CONTROL IN GROUNDNUT,PLS SPRAY OF CARMBDAZIM-25GMLITER WATER
TELL ME WEATHER,NO RAINFALL NEXT FIVE DAYS
Asked about plant protection in  pulse crop,Suggested to spray SAAF :- bavistin  mancozeb 2gmlit of water
FARMER ASKED ABOUT ATTACK OF THRIPS ON GROUNDNUT CROP,5  SG 07 15
TELL ME WHITE GRUB CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE
asked about ground nut variety,ground nut variety - TAG 24 TG 26
ASKING ABOUT WEATHER REPORT,EXPLAIN DETAILS
weed management in groundnut,RECOMMENDED TO SPRAY IMAZITAPYR
TELL ME ABOUT PEST CONTROL IN GROUNDNUT,25   2
asking about leaf caterpillar in groundnut,Recommended for spray chlorpyrifos 2ml  litre of water
TELL  ME INSECT CONTROL,SPRAY OF MENCOZEB 2 GM PER LITER WATERSPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
plant protection in moongfali,ap carbendazime 2 gramliter pani ki dar se spray kare
Asked about plant protection in ground nut,--05    05
