QueryText,KccAns
YELLOWING in groundnut,Spray Profex super 30 ml15 liter water
TELL ME ABOUT WEATHER INFORMATION JALOR,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
thrips on peanut,dimethoate 30 EC  2 mili prti liter pani ki dar se ghol banakar spre kare
Information regarding control of fungal disease in groundnut,800     25
Farmer asked Larvae and Sucking pests control information in Cotton crop,126    95  ZC
information about insect control of groundnut crop,Malathion 5  8 kg
groundnut whitegrub  problem,cloripyriphos 50 ml per pump and to drenching
Farmer asked query on Weather,THERE IS A CHANCE  OF CLOUDY SHOWERS IN YOUR AREA
Farmer asked fungus in root control information of groundnut crop,:     -
COLLAR ROT IN GROUNDNUT,RECOMMENDED TO SPRAY ZUNEB 78WP 3GM1 LITRE WATER TO CONTROL COLLAR ROT IN GROUNDNUT
Ask about larvae control informationSuggested: Cypermethrin 25EC 10 mlpump spray,Suggested: Cypermethrin 25EC 10 mlpump spray
lat in groundnut,SPRAY OF INDOXACARB 145 SC 05 ML PER LITER WATER
TELL ME FIRST IRRIGATION IN GROUNDNUT,ABOUT 20 TO 25 DAS
sucking pest,spray of rogar
TELL ME SUNDI CONTROL IN GROUNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
NARYANI SEED RATE,RECOMMENDED TO 80KG  ACRE - SEEDS
EFFECTED BY TERMITED,SPRAY OF FIOAROLIN 5  2 LITER PER HE
fertilizer use in ground nut,recommended for gypsum 1 tonne RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE RECOMMENDED TO SPRAY NEEMOILAZADINIMBICIDIN RAKSHAK 1 LITRE PER ACRE
asked about to seed treatment in groundnut,2
ASKING ABOUT VARIETIES OF GROUNDNUT,- -    -
TELL ME TERMITE CONTROL IN GROUNDNUT,USE FIPRONIL  5 KG  BIGHA WITH IRRIGATION
Asking about Stem rot Pre-control in Groundnut,:       :  1      20
