QueryText,KccAns
TELL ME CASTOR VARIETY,CASTOR VARIETY - RHC 1 GCH 4 GCH 5 GCH 7
tell me control colar rot diseases of groundnut,use-bawsteen 250gmbiga
tell me root rot control,pls give carbandazim-250gmbiga
ask for root wilt control,15 kg coc ha
Asking about nutrient management in groundnut,SULPHUR 80 WPWGWDG   3 GM  LIT OF WATERAgromin Gold
leaf eating caterpiller   in ground nut,60 ML200
ask for the fertilizer dose of groundnut,preffered for the N-125 and P-25 kg ha
Farmer asked fungus in root control information of Groundnut crop,WP
late leaf blight in groundnut,late leaf blight in groundnut : spray SAAF 2gmteepol 1mllit of water
GROUNDNUT WEEDICIDE,GROUNDNUT WEEDICIDE  - 24 DEE APPLY
LEAF ROT,RIDOMIL MZ 25GM1LITRE OF WATER
ask for seed rate in g nut,120 kilo hacter
TELL ME TIKKA DISEASE CONTROL IN G NUT,SPRAY OF MENCOZEB 2GRABM PAR LITAR WATER
ASKING ABOUT CONTROLL OF BLIGHT ATTACK,FARMER ASKED FOR BLIGHT ATTACK ON GROUNDNUT SPRAY RIDOMIL GOLD 30 GM  15 LITERS OF WATER SYNGENTA
Provide about information of pest stem control in Groundnut crop,5   10
ASKED ABOUT TO INSECT CONTROL IN  GROUNDNUT CROP,--  5   1-15    3
Farmer asked seed treatment of fungus problem in groundnut crop,Ws
leaf spot in groundnut,spray carbendazim 2 gram per litre of water
tikka leaf spot in ground nut,RECOMMENDED TO SPRAY CHLOROTHALANIL  400 GRAMS PER ACRE
TELL ME NUTRIENT MANAGEMNT IN GROUNDNUT,SPRAY OF ZINK SULPHATE  5 GRAM UREA 10 GRAM PER LITER WATER
tikka,spray 1 g Carbendazimlit
TELL ME ABOUT DISEASE CONTROL IN  GROUNDNUT,75   45   3
TELL ME WEATHER INFORMATION OF NAGOUR DIST,FOUR DAYS RAINFALL
FERTILIZER DOSE OF ONION,-  -  -    --     ------ -- -
TELL ME INSECT CONTROL  GROUNDNUT,20   4
Thrips Attack,Spray Confidor super  Confidor 7 ml15 Lit of Water
Asking about Groundnut seeds availability contacts,:    :
frertilizer for groundnut,frertilizer for groundnut  - 18:46 1 BAG ACRE
groundnut nutrient management,Nutrient Management :: Groundnut Mix 125 kgha of micronutrient mixture developed by Department of Agriculture with enough dry sand to make a total quantity of 50 kgha Broadcast evenly on the soil surface immediately after sowing Do not incorporate micronutrient mixture in to the soil
leaf spot in groundnut,Recommended for spray mancozeb 2gm  lit
TELL ME YELLOWING LEAF CONTROLE IN,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
TELL ME TERMITS CONTROL IN GROUNDNUT,CLOROPIRIFOSH 20EC 1LITTER BIGHA
TELL ME WHITE FLY CONTROL IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2ML PAR LITAR WATER
LEAF EATING CATERPILLAR IN GROUNDNUT,RECOMENDED TO SPRAY CHLOROPYRIPHOS 20EC CLASSIC 2MLLITER WATER TO CONTROLL LEAF EATING CATERPILLAR IN GROUNDNUT
Farmers query about Termite Control in  Groundnut crop,-         -         I
ROOT GRUB IN GROUND NUT,--  25  1
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,:-   1
tell me caterpiller control,SPRAY OF PROFENOFOS  CYPERMETHRIN 15 ML PER LITER WATER
GROUNDNUT DRY ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
ask for groundnut intercropping information,suggest: no any crop grown with groundnut
Asking about  Groundnut seeds available in Tindivanam,Query: Groundnut seeds available in Tindivanam Answer: Not available  so contact nearest Agriculture department
varities,tag-24 sb-11
ROOT ROT IN GROUNDNUT,SPRAY RIDOMIL GOLD  25 GM  1 LITER OF WATER FOR ROOT ROT IN GROUNDNUT
ASKED ABOUT GROUNDNUT VARITIES,RECOMMENDED KADIRI6
want to know about fertilizer requirment in gound nut,adviced to apply urea 6 kg ssp 33 kg and mop 7 kg per bigha
how to Control root borer in groundnut,Control root borer in groundnut are drenching chlorpariphos  3mlliters of water
Asking about basal fertilizer management for groundnut,:       :   5
fertilizer dose for groundnut,apply DAP  jipsum
WANT TO KNOW ABOUT WEED MANAGEMENT IN GROUNDNUT,RECOMMENDED FOR SPRAY ALACHLORE 50 EC  6 MLLIT OF WATER
leaf curl in groundnut,spray methyl demton 2 ml lit of water
Ask about all type of pest control in peanut,ppm
SEED RATE OF   GROUNDNUT,80- 100 KG HAC
Ask about variety information in Groundnut crop,-34   -37
TELL ME GROUND NUT,M-13  GG-2 TG-37A
Groundnut seed verities,CALL DISCONNECTED DUE TO NETWORK PROBLEM
