QueryText,KccAns
White grub insect in groundnut crop,Apply of Cartap Hydrochloride 4GR 8-10kgacre
asked about groundnut pest control,asked about groundnut pest controlrecommended-quinolphos 2 ml per liter
ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT,--       50   250
moongphali me pani kab lagaye,moongphali me pahali sichayi 20 din ka ho jay to sichayi kare
TELL ME INSECT CONTROL IN ground nut,Dimethiate 30 EC 660 mlha
ASKED ABOUT THE WEED CONTROL,RECOMMENDED TO SPRAY ALACLORE 1LIT1ECRE
TELL ME CONTOR LOF ROT ROOT IN GROUNDUTE,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
CUTTING PEST IN TIL,SPRAY QUINALPHOS 25 MLLTR WATER
Nematode control,Recommended to applyThimet Phorate 10G  3 gm per plant  to  control nematodes in groundut
Farmer asked Spotted bollworm problem in GROUNDNUT crop,EC               EC 15
weed management for groundnut,recommended for the spray   Fluchloralin 800ml acre
GROUNDNUT ROOT GRUB MANAGEMENT,RECOMMENDED FOR APPLY CARBOFURAN 3 G 10 KGSACRE
CONTROL OF FOOT ROT IN GROUNDNUT,TRICHODERMA
ground nut pod borer management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
For preventing mite infection,Recommended to spray Chloropyriphos 15  DP  10 kg per acre For preventing mite infection
Farmer needs information regarding water management and harvesting of Groundnut crop,I
stem rot in groundnut,recommended to spray cabendazim 2gmltr of water
Groundnut high yielding,Apply groundnut rich 25 kgac mix or dap 2kg sprayingac
moongphali me kira laga,clorophoriphos 5 ml liter of water
TELL ME WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS
groundnut variety,recommended groundnut variety kadiri-6
WEED MANAGEMENT IN GROUND NUT,SPRAY TARGASUPER 2 GRAM IN ONE LITRE OF WATER FOR WEED MANAGEMENT IN GROUND NUT FIELD
LEAF EATING CATERPILLAR IN GROUND NUT,LEAF EATING CATERPILLAR IN GROUND NUT  SPRAY CHLOROPYRIPHOS 20 EC 2 MLLITER OF WATER
weeds in groundnut,apply oxygold- 20 kg per hectare
suitable varieties for groundnut,recommended for groundnut varieties are  TMV 7 VRI 2 VRIGn 6TMVGn 13
WEATHER REPORT FOR JODHPUR,PARTLY CLOUDY SKY  THUNDER STORM WITH RAIN MAY OCCUR IN NEXT 5 DAYS
Farmer asked fungus control information in groundnut,wp
water  management,you can irrigate
Plz give me weather information,1718july ko baarish hone ki sambhawnaa hai
ground nut richi detail,ground nut richi  2kg 200 lit
LEAVES ARE YELLOWISH IN GROUNDNUT,SPRAY FERAS SULOHET 5 GM L WATER
TOBACCO CATERPILLAR DAMAGE IN GROUND NUT,RECOMMENDED TO SPRAY NOVALURAN 200 ML PER ACRE
groundnut top dressing fertilizer management,Recommended for apply gypsum 75 kg  Borax 4 kg ac
Ask about Fertilizer dose of Groundnut crop,-   64
top dressing fertilizer management for groundnut,recommended for Apply gypsum 160 kgborax 4 kg  ac
COLAR ROOT IN GROUNDNUT,USED KITAZINE 1KG  BIGHA
ASKED ABOUT TO DISEASE CONTROL IN,12     2
YELLOWING on groundnut,SPRAY MICROLA 30 ML 15 LITER WATER
Ground nut aphids control,Recommended for spray imidacloprid 05 ml  lit of water
Groundnut planting season,Recommended for December - January
Asked about Stem rot management in Groundnut,:      :    1    20
Farmer asked query on Weather,38       21
Farmer asked Fall Armyworm problem in Ground Nut crop,SG 10
ASKING ABOUT CONTROL OF BLACK SPOT IN GROUND NUT PLANT,SPRAY AZOXYSTROBIN 23 SC  1 ML   LIT OF WATER
ASKED ABOUT POST EMERGENCE WEED MANAGEMENT IN GROUNDNUT,-     -
Farmer Asked sucking pests control information of Ground nut,ZC 8
LEAF SPOT IN GROUNDNUT,SPRAY CHLORTHALONIL 2 GRAM PER 1 LITRE WATER
WHITE GRUB IN GROUMDNUT,SOIL DRENCH WITH CHLOROPYRIPHOS 2ML PER 1LTR WATER
TELL ME   WHIT GRUB   CONTROL IN  GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
Attack of White Grub,Use Fertera 5  kg acre  Thimate 5 kg  acre
asked ground nut leaf eatin catter piller,Precipitation 43Considerable cloudiness with a thunderstorm in one or two spot
Asked about plant protection in,Suggested to spray Quinalphos 25 EC -  2 ml  lit of water
sucking pest in groundnut,recommended spraywith monocrotophos 16 ml and 5 ml neem oil for 1 litre of water
groundnut sucking,ACEPHATE ANTAF ARTIN LUCID   300 GRAMS PER ACRE
askign about groundnut top dressing fertilizers,recommended for apply gypsum - 75 kg  borox - 4 kg acre
TELL ME FUNGUS CONTROL IN GROUNDNUT,APPLY CARBENDAZIM 250 GM PAR BIGHA WITH IRRIGATION
ask for grounndnut white grub information,suggest: drenching with  cloropayriphose
Micronutrients management in soil,90                                                -     1        3
GROUND NUT HAIRY CATERPILLER,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
GROUNDNUT SUCKING PEST MANAGEMENT -,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS 150 LITRES OF WATER  ACRE
Ask about blank pod problem in groundnut   crop,100
TELL ME CONTROL OF BLIGHT IN GROUNDNUT,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER
mungphalli me wilt laga hai,25 kilo tricodarma ko 70 kilo gober ki khad me milakar paryog kare
TELL ME YELLOWING IN GROUNDNUT,SPRAY MICRO NUTRIENT 4 GLIT WATER
Ask about fertilizer dose in groundnut crop,Suggested:BASAL DOSE- AMMONIUM SULPHATE 80KG  SSP 150KG
