QueryText,KccAns
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,-  :: -     -
catterpilar,Spray Profex super 35ml15 Lit of Water
-farmer asked query on root rot management in groundnut,-     1
Asking about TNAU Groundnut rich using information,:      :
Ask about weed Management information in Groundnut crop,30 EC     80
Asking about Affect the yield of groundnut seed sown before the dormancy period,:     :    1-6
Farmer asked Heliothis Larvae Problem in groundnut crop,EC
ask for gnut pest,suggest:corazen 5 mlpump sprey
groundnut top dressing fertilizer management,recommended for apply gypsum 150 kg  ac  borax 10kgacre
TELL ME WEED CONTROL IN CROP,HAND WEEDING MUST
Asked about leaf spot disease management in groundnut crop,:      : 5
cultivation of ground nut,sowing time in july
groundnut variety,groundnut variety--TAG-24TG-26DAFTARI
Doff,Streptocycline
FARMER ASKED ABOUT INFORMATION OF GROUNDNUT CROP,-   -        -     -   -   -
TELL ME SEED RATE OF GROUNDNUT,SEED RATE OF GROUNDNUT  80-100KG  HA
ask for larva in  g nut,spay novaluron 10 ml per pump
early leaf spot in groundnut,recommended for Spray mancozeb  carbendazim SAAF 2 gm  lit of water
GROUNDNUT SEED TREATMENT,Treat the seeds with Trichoderma viride  4 gkg seed or Pseudomonas fluorescens  10 gkg seed
VARIETIES,phule pragati  koapargoan
ROOT ROT MANAGEMENT  IN GROUNDNUT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
Asked about groundnut seed price information,:     :  85 - 100
FARMER QUERY BIOVITA USE IN CROP,4 - 8      Liquid  500
ASKED ABOUT TO NUTRIENT MANAGMENT IN GROUNDNUT,80  2
ask for fungus problem,Blue copper 40 gmpump AND DRENCHING
GROUND NUT LEAF FOLDER,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
Red Hairy caterpillars management in groundnut,Recommended for spray Dichlorvos 2mllit of water
disease,tridemarph 05gmliter water
insect problem in groundnut,Monocrotophos 36 SL 300 mlacre
PANI NAHI BARAS RAHA HAI MUNGFALI ME PANI LAGA DE KYA,MUNGFALI ME PANI LAGA DE
Ask about groundnut fertilizer information,90     1
TELL ME SEED TREATMENT OF GROUNDNUT,SEED TREATMENT BEFOR SOWING   CARBENDAZIM 3 GRAM KG SEED AND IMIDACLORPID 4 MLKG SEEDCULTURE 3 PACKETHACTOR SEED
weather detail for thiruvannamalai dist,date from 9 to 12 have heavy rain
Nutrient spray for groundnut at 60 DASVarTAG-24,Spray microlla 25ml10 lit of water
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,33 5   10
groundnut thrips management details,recommended for spray Fipronil 2 ml  lit of water
TELL ME ROOT ROTE OF GROUNDNUT,CARBENDAZIM 1 KGHA WITH IRRIGATION
Ground nut top dressing fertilizer,Recommended for apply urea 25 kg potash 10 kg mn mixture 5 kgac
Precaution measure to control Root grub in Groundnut,Recommended to soil drench with carbofuran 3G   10 kg per 1 acre of land as Precaution measure to control Root grub in Groundnut
ASKED  ABOUT TO  INSECT CONTROL IN  GROUNDNUT,-- 15  25
TERMITE PROBLEM IN GROUNDNUT,USE CHLOROPYRIPHOS 1 LBIGHA
Asking about Aphid Leaf miner in groundnut,:         :      2
TELL ME WEATHER FORECASTING,NOT RAINFALL NEXT FIVE DAYS
ask for groundnut clorosis information,suggest: spray 100gm ferus sulphet10gm cotorct acidpump
FERTILIZER SPRAY FOR GROWTH ON GNUT,-         SG-  -
WEEDICIDE,QUIZALOFOP P ETYL 3ML IN 1 LITER WATER
fertilizer required for top dressing  in ground nut,apply 100 kg gypsum per acre of ground nut
TELL ME FARTILIZAR IN GROUNDNUT,FARTILIZAR IN GROUNDNUT  UREA 10 KG  SSP  55 KG PER BHIGA
TELL ME PESAT CONTROL IN GROUNNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Farmer ask about control of whitefly attack on groundnut crop,-   96  25
GROUND NUT ROOT ROT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
attack of leaf folding cater pillar on blight on groundnut,spray tryzophos 30 ml  tilt 5 ml  15 lit of water
groundnut growth,agromin max 5 gram  liter water
LEAF SPOT,SPRAY BAVISTIN  1GLT OR MANCOZEB  2GLT
asking about leaf caterpillar management in groundnut,Recommended for spray Profenophos  2ml  litre of water
ask about weeding,suggested glyfoset
Fertilizer dose for Ground nut,- -  :  : -
TELL ME GROUNDNUT SEED RATE,80-100KG PER HECTRAE
Asked about Does waterlogging in groundnut field affect groundnut seed germination,:           :
Farmer asked about irrigation in peanut crop,5       4
Ask about groundnut  fertilizer information,25         10
White grubs,PHORATE 10KG1ACRE
Weed management in Ground Nut,-  -    -
ground nut rich details,explain the details
STEM ROT,APPLY COPPER OXYCHLORIDE 3GM L OF WATER
TELL ME LOW GROWTH IN GROUNDNUT,SPRAY OF MULTIPLAX  60 GM PER  TANKI 15 LITER WATER
Thrips Attack,Actra 5 Gram  Karate 15 ML  15 Liter Water
moongfali me wilt laga hai,moongfali  ke seed ko upcharit karake buvai kare
collar rot on groundnut,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
TELL ME DISEASE  CONTROL  GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
Asking about groundnut top dressing fertilizer management,:    :  75     4
tricoderma se beej sodhit karna hai,4 gram tricoderma kilogram beej
Ground nut white grub management,RECOMMENDED TO DRENCH CHLORPYRIFOS 6 ML1 LITER OF WATER
groundnut variety,groundnut variety  SB11
ask about tikka disease in gnut,I suggested spray mencozeb 30 gram  15 liter
asking about suitable bio fencing crops,recommended for Agave Prosopis juliflora Pithecolobium dulce and Thevetia if closely planted in 3 rows would serve as a good live fencing
TELL ME ABOUT WHITE GARB CONTROL  IN GROUNDNUT,15  25
Asked about caterpillar managements for groundnut,:     : : 10   EMAMECTIN  4 g
ASKED ABOUT TO INSECT CONTROL IN GROUDNUT,25   2
Farmer asked termitewhite grub control information in Groundnut crop,1   5  GR  25
LEAF MINOR,LEAF MINOR SPRAY TRIAZOPHOS 2MLLIT
Groundnut top dressing management,Recommended for apply urea 5 kg potash 13 kg  gypsum 75 kg acre
Asked about groundnut  weed management,:   10     :
Asking about groundnut TNAU foliar application,Recommended for groundnut foliar spray TNAU Groundnut rich 2kg  acre 200 lit
Groundnut leaf feeder,Recommended for spray Imidacloprid 178 3 mllitre of water
Asked about leaf spot in groundnut,Recommended for spray Mancozeb Carbendazim SAAF25gmlitre of water
Farmer asked query on Weather,:        :          38      10
Asked about Weed management in Tapioca intercropping with Groundnut,:         :
Asked about Nutrient management,Suggested to apply Complex fertilizer and micronutrients
Moongfali ke khet me Deemak ka prakop hai,Cartap Hydrochloride 4G 8 kilogramacre mrida me bakher kar halki sinchai kare
mungphali ki jad me keeda,2 litre chloropyriphos 20 ecacre sichai ke sath dijiye
asked about attack white grub in groundnut,20    10
ABOUT THE WEED MANAGEMENT IN GROUNDNUT 25 DAYS AFTER SOWING,RECOMMENDED TO NO WEEDYCIDE 25 DAYS AFTER SOWING
Information regarding verities of mungphalli,verities of mungphalli :- punjab mungphalli no-1 mungphalli haryana - 4
Farmer asked white fly control information of groundnut crop,SP 7
Ask about fetilizer,No recommendation as top dressing
ASKING ABOUT PLANTING TIME OF GROUNDNUT,APPLY  CARBENDAZIM 50 WP  2 GM  KG SEED
ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT GROUNDNUT,4 ML         80WDG  2
Asked about Leaf spot and Tobacco caterpillar management in groundnut,:          :     2    2
Attack of Blight,SPRAY REDOMIL GOLD 20 GM 15 LIET WATER
TELL ME DISAESE CONTROL IN  GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE
Asking about Tobacco caterpillar in groundnut,Recommended for spray propanophos 2ml  lit
VARIETIES OF GROUNDNUT,CHANDRAFAIZPURATYPE-64
sunflower weed management,RECOMMENDED TO SPRAY PENDIMETHALINSTOMP 1-125 LITREACRE
ask for gnut varieties,suggest gg  20
tell me yellowing in groundnut,spray feras sulphate 5gm per litwater
asked about spray on groundnut,- 1-                      2-
Late leaf spot of groundnut,mancozeb ka spre kare
TELL ME TREMITE OF GROUNDNUT,CLOROPYRIFOS 1 LITER  BIGHA
groundnut,groundnut SPRAY mancozeb or bavistin
SESAMUM POWDERY MILDEW,WETTABLE SULPHOR 3 GRAM  LITER
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,USE OF CARBANDAZIM 250 GMBIGHA
fertilizer for groung nut,use urea 25 kiloekar
mousam ki jankari chahiye,KISAN BHAI 29  MAY SE 3 JUN TAK HALKI  BARISH HONE  KI SAMBHAVENA HAI
ask for seed treatment in ground nut,I suggested to quinalfos 25 mili10 kilo seeds
