QueryText,KccAns
Disease Attack- Blight Attack,Blue copper -40 gm 15 lit water
ASKED ABOUT CONTROL OF DISEASE AS A PREVENTIVE MEASURE IN GROUNDNUT,TEBUCONAZOLE 10  SULPHUR 65 WDG
PLANT PROTECTION,COCCOPPER OXY CLORIDE 3GM PER LITER
Information regarding the weed control in groundnut,21  42
mausam ki jankari de,15 aur 16 ko barish hone ki sambhavna hai
farmer asked about nutrient management in groundnut,RECOMMENDED TO APPLY CALCIUM NITRATECN- 1KGACRE200LIR OF WATER
FERTILIZER USE,RECOMMENDED TO USE DAP UREA AND SSP AND 200 KG OF GYPSUM  AT FLOWERING STAGE
ask gnut fertilizer,I suggest besal dose 125kgN-25kgPha
Asked about using of Groundnut seeds as food,:       :
FARMER ASKED ABOUT ATTACK OF CATTERPILLAR ON GROUNDNUT,-     15
Asking about Stem rot control management in Groundnut,:      :    1    20
ASKING ABOUT CONTROL OF BLACK SPOT IN GRTOUND NUT,SPRAY   HEXACONAZOLE 5 SC EC  15-2 ML  LIT OF WATER
seeds,jl-24
Ask about larvae control information in groundnut,19   25
Asked about Plant protection in groundnut,Recommended to spray  Metalaxyl MZ   2glitre
Root Rot IN Groundnut,Recommended to spray Carbendazim-MancozebSaafSixer 2gm per litre of water to control Root Rot IN Groundnut
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,--            5  25
--Farmer asked fungus in root control information of,WP
plant protection,spray imidaclopride 05mll ans saff 2gl
LEAF WEBBER IN groundnut,TO SPRAY OF Profenophos 50 EC - 2 MLLITER
ask about irrigation information in pea nut,-    -    -     -    -        -
asking about weather information,possibility of light rainfall in 9 to 14 june
WATER MANAGEMENT IN GROUNDNUT,RECOMMENDED TO APPLY AT PRE FLOWERING STAGEFLOWERING STAGEMATURITY PERIOD IRRIGATION IS ESSENTIAL
ask for the larva control,I suggested corgen 5 ml per pump
farmer asked query on  groundnut tobacco caterpillar control management,90  150
GROUNDNUT CROP AFFECETD BY BLACK ROOTS,USE TRIKODERMA 25 KG MIX 50 KG FYMHAC
SEED TREATMENT IN GROUNDNUT,SEED TREATMENT IN GROUNDNUT: RECOMMENDED TO TREAT 1 KG SEED WITH 3 GRAMS MANCOZEB OR 1 GRAM CARBENDIZAM
Termite infestation in Groundnut,Recommended to drench Clorpyriphos 20 EC 2ml per litre of water to control Termite infestation in Groundnut
TELL ME FERTILIZER IN GROUNDNUT,ZINK 215 KGBIGHA
Farmer asked query on Weather,Todays weather is 6o chances of rain with cool weather
ASKED FOR GROUNDNUT VARIETY,GROUNDNUT VARIETY - SB-11  JL-24
FARMER ASK ABOUT WATER MANAGEMENT IN GRUONDNUT,:                     -
ASKED ABOUT TO TERMITE CONTROL IN COTTON,178   1
SUCKING PEST IN GROUNDNUT,SPRAY IMMIDACHLOROPRID  1ML3LIT WATER FOR SUCKING PEST IN GROUNDNUT
Ask about Variety of Sesame,-
Alternaria leaf blight management of groundnut,recommended for spray Carbendazim 1g 1 litre of water
TELL ME FIRST IRRIGATION IN GROUNDNUT,ABOUT 25 DAS
ASKED About seed rate,seed rate 45 -50 kg acre
FOR BETTER GROWTH AND YIELD IN GROUNDNUT,RECOMMENDED FOR SPRAY MULTI-K 75 GM LIT WATER FOR BETTER GROWTH AND YIELD IN GROUNDNUT
tikka leaf spot,cavatch 400 gac
Farmer need information regarding control measures of caterpillars in groundnut  crop,Recommended for Spray or indoxa carb 10 ml at 15 liter of water
IRON DEFICIENCY CONTROL IN GROUND NUT,RECOMMENDED TO SPRAY FERROUS SULPHATE 5 GRAMS CITRIC ACID 2 GRAMS1 LITRE OF WATER
TELL ME ROOT ROT CONTROL IN cotton,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
COLLAR ROT DISEASES IN GROUNDNUT,RECOMMENDED TO SPRAY RIDOMIL 25 GM  LIT WATER FOR CONTROL OF ROOT ROT DISEASES IN GROUNDNUT
Asked about Groundnut early tikka leaf spot management,:       :  - 2
LEAF WEBBER IN GROUND NUT,RECOMMENDED TO SPRAY QUINALPHOS 25 EC  2 ML1 LITER OF WATER TO CONTROL LEAF WEBBER IN GROUND NUT
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,5
WEED MANAGEMENT IN GROUNDNUT,SPRAY TARGA SUPER 3 ML IN 1 LITRE WATER FOR WEED MANAGEMENT IN GROUNDNUT
-- Causes of yellowing in peanut crop,05     01
Fungus attack,Spray REDOMIL GOLD 30gm 15Lit of Water
ask for larva in  g nut,spay novalurn 10 ml per pump
groundnut pest,spray methyl parathion at 1 mllit
TELL ME WEATHER INFORMATION,FIVE DAYS RAINFALL
Farmer asked query on Weather,33 5   10
weather information,29 august tak barish hone ki sambhavna nahi hai
Farmer asked Larvae control information of Groundnut Crop,SG 8-10
Leaf caterpillar and early leaf spot  management in groundnut,Recommended for spray chlorpyriphos 2 ml  carbendazim 2 g neem oil 3 ml  sticking agent 1 ml  litre of water
ASKED ABOUT SEED RATE OF GROUND NUT,SEED RATE OF GROUND NUT50 KG ACRE
GROUNDNUT THRIPS,RECOMMENDED TO SPRAY   Monocrotophos 400 ml  acre
TELL ME   D                                                                                                                                                                                                                                                                                                                                                                                                                                     ISEASE CONTROL GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
ask for groundnut weediside information,suggest: spray targasuper 35mlpump
asking about early leaf spot in groundnut,Recommended for spray Carbendazim 2gm  litre of water
Leaf miner in ground nut,Recommended for spray Chlorantraniliprole 6 ml10 litre of water
mungphali me patanga,500 ml quinolphos 25 ec  acre ka spray kare
GROUND NUT SEED TREATMENT,MANCOZEB 2 GRAMS  KG SEED
sucking pest in groundnut,recomended pride 3gmlit water
ZINC DEFICIENCY IN GROUNDNUT,--RECOMMENDED TO SPRAY ZINC SULPHATE 2 GRAM 1 LITER OF WATER    2
Farmer asked Varieties information of Groundnut crop,:-  :- -  -TG-37-A  :-  -  -  -
groundnut herbicides,groundnut herbicides--parshut spray
leaf minor in groundnut,recommended spray for dimethoate 2mllit of water
FARMER ASKED ABOUT SUMMER VARIETIES OF GROUNDNUT,- -         -    -  501   -24
Asked about Rainfed Groundnut basal fertilizer management,:       :   8      25    30
GROUND NUT VARIETY,GROUND NUT VARIETY  TAG 24
GROUND NUT CATERPILLAR MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE 90 GRAMS 200 LITRES OF WATER
Farmer asked fungus in root control information,:   1
leaf spot control in groundnut,recommended for spray chlorothalanil 2mlliter water
ASKED ABOUT THE CONTROL OF SPODOPTERA,RECOMENDED TO SPRAY MONOCRTOPOS 16MLL
Asked about nutrient management  in Groundnut,Suggested to spray Chlorpyriphos  2 mlltr of water
TELL ME ABOUT WEATHER INFORMATION,LIHGHT RAIN POSSIBILITY IN NEXT 5  DAYS BUT CLOUDY SKY
FERTILIZER FOR GROUNDNUT,FERTILIZER FOR GROUNDNUT-ALONG WITH NPK FERTILIZER APPLY GYPSUM 50KG DURNING FLOWER FORMATION
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,3
TELL ME SEED TREATMENT OF GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 ML PER KG SEED FOR SEED TREATMENT IN GROUNDNUT  USE CARBENDAZIM 2 GM PER KG SEED
ASKING ABOUT FERTILIZER DOSE IN GROUNDNUT,CONTACT WILT LOCAL BLOCK OFFICES - ADA
PLANTB PROTECTION,SPRAY MANCOZEN 2GML OF WATER
Farmer Asked sucking pests control information in groundnut,-D  10     WG
wilt in gnut,tebuconazol 15 mlpump
TELL ME CONTROL TERMIT IN GROUNDNUT CROP,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
LEAF FOLDED IN GROUNDNUT,RECOMMENDED TO APPLY TRIAZOPHOS 40ECGHATAK 2ML IN 1 LITRE WATER TO CONTROL LEAF FOLDED IN GROUNDNUT
Farmer asked query on Weather,WEATHER REPORT :THERE IS CHANCE OF CLOUDY WEATHER  CHANCES OF RAIN IN YOUR AREA
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,50   5 2
asking about leaf caterpillar management in groundnut,recommended for fibronil 15 ml 1 litre of water
fertilizer dose,after 30 days apply 125 kg gypsum  ha
for pod  development in ground nut,calicium sulphate 3grmslt water
TELL ME WEATHER INFORMATION OF JAISALMER,RAINFALL 40 MM NEXT FIVE DAYS OF JAILMER
plant protection,takumi 2gmliterwater
asked about information groundnut,Spray Actra 5 gm  15 Lit of Water
asked about variety of groundnut crop,-   44
GROUNG NUT WEED  MANAGEMENT,RECOMMENDED TO SPRAY PENDIMETHALIN 1-125 LITREACRE
moongphali me sundi lgi hai,ap daiclorovas 76 2mili  liter pani ke sath spray kare
Farmer asked about rat control in groundnut,-    -
attack of root rot on groundnut,root rot on groundnut-Spray Blue copper 40 gmcopper oxychloride15 liter water
Farmers query about seed rate of groundnut,Information provided by kcc  recoomended seed rate of groundnut 120 kilogram per hectare
fertiliser management in gypsum,apply 150 kg ureaac
GROUNDNUT NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY FERROUS SULPHATE 20 GRAMS CITRIC ACID 2 GRAMS1 LITRE OF WATER
groundnut variety name,groundnut variety name kadiri-5 kadiri-6 vemanaabhaya
