QueryText,KccAns
Asking about aphid  in groundnut,Recommended for spray Chlorpyrifos  2ml  liter of water
Asked about Leaf caterpillar and aphids management in Groundnut,:      :  2
Leaf eating caterpillar in Groundnut,recommended for spray Profenophos 2 ml liter
WANT TO KNOW ABOUT HOW TO CONTROL WEEDS IN GROUNDNUT FIELDS,Clodinafop Propargyl 15 WP            I  -         I
asking about weather in jhansi,no chance rain
groundnut season,Anippattam June-July
TELL ME INSECT CONTROL IN GROUNDNUT,SPRAY OF PROFENOFOS 15 ML PER LITER WATER
Ground nut wilt control,Recommended for spot drenching carbendazim 2 g bavistin   lit of water
Farmer asked query about plant protection,5
Farmer asked query on Weather,:       :             37     24      8
Farmer asked query on Weather,CLOUDY WEATHER IN YOUR AREA AND   NO CHANCE OF RAIN
caterpillar damage in ground nut,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
Farmer asked query on Weather,36     32           5
QUERY: groundnut early leaf spot,ANS: spray mancozeb 2 gm  lit
farmer ask about fertilizer uses,90  15
Plant protection,Spray chloropyriphos  25 ml  1 liter of water
farmer want to know information about how to control caterpillar in groundnut,5 SG 8-10
Asked about Groundnut sowing season and varieties suitable for sowing through the year,:            :
ASKED SEED TREATMENT FOR GROUNDNUT,USE 5 GM OF TRICHODERMA  KG OF SEEDS
groundnut top dressing fertilizer application,recommended for apply gypsum 75 kilo  borax 2 kilo  acre
asked about information groundnut,asked about information groundnut -Spray fame 5ml15 Lit of Water
Farmer asked fungus control information of in groundnut,WP
TELL ME ABOUT CONTROL OF COLLER ROT IN GROUNDNUT,SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER
TELL ME CONTROL OF INSECT IN GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
ATTACK OF THRIPS ON GROUND NUT,Spray Confidor 6ml15 Lit of Water
TELL ME WEED CONTROL IN MOONG,NO USE HERBICIDAY  IN STANDING CROP IN MOONG
TELL ME POWDERY MELDEW IN MUSTARD,SPRAY OF CALECSIN 1 ML LITER WATER
TELL ME CONTROL OF WEED CONTROL IN GROUNDNUT,SPRAY OF PENDIMETHILIN 30 EC 25 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
ASKED ABOUT ATTACK OF SUCKING PEST AND CATERPILLAR,SPRAY ACTRA 7 GM  RIDOMIL GOLD 30 GM  IN 15 LIRE OF WATER
groundnut,monocrotophos 2ml  neem oil 5mll
TELL ME DISEASE COTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
tell me control of root rot in groundnut,1
TELL ME WHITE GRUB CONTROL IN GROUNDNUT,SPRAY OF QUINALPHOS 4 LIT PER HECTER WITH IRRIGATION
ask abt ground nut in white groub,Chlorpyriphos 30 ml  15 lit water
Asking about groundnut leaf eating caterpillar,recommended for the spray  profenophose  2 ml lit of water
weedicide in groundnut crop,use basalin or pendimethilin in groundnut crop
Asked about nutrient management,Zinc sulphate- 4 kgacreBorax- 4 kgacreGypsum- 200 kgacre
Farmer asked query on Weather,:           :       -                   38C    26C      8
seed rate of groundnut,recommended for Use 125 kgha of kernels
Asking about pest management in groundnut,:     :   1   2
variety,smrutikissan ak 1224
TELL ME INSECT CONTROLE IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
Farmer asked query on Weather,3            18      9      7
BASAL DOSE OF FERTILISER IN GROUNDNUT,RECOMMENDED TO APPLY 4 KG UREA35 KG DAP AND 26 KG POTASH PER ACRE AS BASAL DOSE OF FERTILISER IN GROUNDNUT
fertilizer application in groundnut,recommended to apply 9 kg urea 16 kg phosphorus 16 kg potassium to be applied
Nutrient management in groundnut crops,Advise to apply 5kg urea35kg dap26kg mop
Farmer asked weed control in groundnut  crop,-                      ww ME  -
Ground nut gram pod borer management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
leaf miner control in Groundnut,recommended for spray dimethoate 15 mlteepol 05 mllit of water
FARMER ASKED ABOUT TO NUTRIENT MANAGEMENT IN GROUNDNUT,8-10
plant protection,spray mncozeb 2gl
Asking about Basal fertilizer management for groundnut,:    : :  80    50     8
Information about of Growth plant required in Pea nut  crop,8-10kg acor
TELL ME NUTRIENT MANAGEMENT,----  33 5   10
nematodes in groundnut,-Apply carbofuran 3 -5 kglt of
caterpiler,spray for fame
How much urea should be used after irrigation in groundnut crop,20
farmer want to seed treatment  of ground nut crop,Use bavastim 3 gm per kg of seed
Farmer asked query on Weather,CLOUDY WEATHER NO CHANCE OF RAIN
ask for trips control information,suggest:thayomithoczem 5 mlpump sprey
THRIPS ATTACK ON GROUND NUT,Spray Roger 15 ml15 Liter of WaterDimethoate-Cheminova
GROUND NUT GYPSUM DOSAGE,200 KG GYPSUM AT FLOWERING STAGE : GROUND NUT
ROOT ROT CONTROLE IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG  PER HA IN ROOT ZONE
Farmer asked query on Weather,:              :           -                     - 37C   -  26C       8
tell me groundnut  RATE OF JODPUR MANDI,3400 RU QU
Farmer asked fungus control information of groundnut,wp
Farmer asked fungus in root control information In groundnut crop,WP
ASKING ABOUT WEATHER INFORMATION,CLOUDY WEATHER TILL 22 JUNE BUT NO CHANCES OF RAIN
Groundnut rust,Recommended for spray chlorothalonil 2 g litre
Asked about Water management in Groundnut,:       :
Asking about tobacco caterpillar in ground nut,:     :  2
For better grain filling in Groundnut,Recommended to spray Fantac Plus 1ml in 2litres of water for better grain filling in Groundnut
groundnut red leaf spot control,spray contaf 15 mlpump
Farmer asked Varieties information of Castor  crop,-   -              -
Farmer needs information regarding procedure to seed treatment in groundnut,:            25      -        70   3
Asked about leaf curl virus disease management in groundnut,:      : :      2
TELL ME ABOUT THE CONTROL OF INSECT IN GROUNDNUT,15
Asking about prevention disease management for ground nut,:        :     1   25
peanut stem necrosis disease,CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE
Farmer asked Sucking pests and Larvae problem in crop,25- 40                EC
groundnut season,apr-may
Asking about top fertilizer management,Recommended for apply gypsum 100 kg and borax 4kg
attack of sucking pest on groundnut,spray actra 5gm15lit water
Rootrot in groundnut,Drench with 2gram Saaf  1gram plantomycin per 1ltr water
TELL ME  INSECT CONTROL IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
Ask about Plant Growth Retardant Information groundnut,-         SL
information about seed treatment in groundnut,3     3     2
Farmer asked about fungus problem in groundnut,EC -
TELL ME INSECT CONTROL IN,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
Information regarding the control of root blackening in groundnut crop,Carbofuran 3G  8  10
ask about white grub in groundnut,i suggest cloropiriphos 4 liter per ha
basal fertilizer management for,basal fertilizer management for groundnut  apply 50KG DAPAC
GROUN NUT THRIPS MANAGEMENT,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE
Farmer asked fungus control information of,SE  10
early leaf spot,Carbendazim 500 gha
asking about groundnut leaf minor,recommended for spray dimthoate 2 ml 1 litre of water
FARMER ASKED QUERY ON SEED TREATMENT IN GROUND NUT,RECOMMENDED TO SEED TREATMENT CAPTAN    OR THIRAM OR MANCOZEB 3 GRAMS  KG OF SEEDS        3          1     10
ask about sucking pest in gnut,I suggested imidakloprid 10 ml  10 lit water
FARMER ASKED QUERY ON IRRIGATION  MANAGEMENT IN  GROUND NUT,RECOMMENDED TO GIVE IRRIGATION AT FLOWERING  STAGE
TELL ME SOWING TIME OF GROUNDNUT,SOWING TIME OF GROUNDNUT JUNE LAST TO JULY 15
FERTILIZER MANAGEMENT IN GROUNDNUT,ZYPSUM 200KGACRE IN GROUNDNUT
catterpillar,Drenching of Chloropyriphos 40 ml  15 lit of water
