QueryText,KccAns
Farmer wants to know information about How to control of fungal attack in groundnut crop,Recommended for to control of fungal attack spray  carbandazim  mancozeb 40gmand streptocyclin 2 gram at 15 liter of water
ATTACK OF WHITE GRUB,APPLICATION OF THIMATE  PHORATE 3-5 KG ACRE
TELL ME NUTRIENT MANAGEMENT   IN GROUNDNUT,5     1
FUNGAL DISEASE IN GROUNDNUT,SPRAY MANCOZEB 2 GRAM IN ONE LITRE OF WATER FOR FUNGAL DISEASE IN GROUNDNUT
Asking About gnut time of sowing,Suggest to grow second fortnight of january
Farmer asked fungus control information in groundnut crop,EC 10
Ask about sucking pests problem in crop Suggested: Dimethoate Rogar 30 EC 20 mlpump spray,Suitable for young crops
TELL ME ABOUT WHITE GRUB CONTROL IN GNUT,1
water management,provide all infromation
Asking about water management in groundnut,Recommended for irrigated for 80 days
TERMITE IN GROUNDNUT FIELD,RECOMMENDED TO APPLY CHLOROPYRIPHOS DUST 8KG  1 ACRE
Farmer asked about larva control problem in Groundnut crop,EC -
ASKED ABOUT TO NUTRIENT MANAGEMENT IN GROUNDNUT,90   2
ASKED ABOUT TO DISEASE CONTROL IN GROUDNUT CROP,12   63    2
Asked about leaf caterpillar management in Groundnut,:     :   4   10
excess of rainwater stagnation in groundnut field,Recommended for drain the water completely and follow apply Trichoderma 1kgac mixed with FYM
SEED TREATMENT OF GROUND NUT,TRICHODERMA 6 GRAM PER KG SEED
APPLICATION OF GYPSUM IN GROUND NUT,RECOMMENDED TO APPLY 100 KG ZYPSUM PER ACRE
Asking about Groundnut early tikka leaf spot management,:       :    - 5
TELL ME  SOWING TIME  GROUNDNUT,SOWING TIME OF GROUNDNUT 1 APRIL TO 15 JUNE
Farmer asked query on Weather,5                   32   27
Weed management in Groundnut,Recommended to spray Targa Super 2ml per litre of water to control weeds in Groundnut
Farmer asked weed control in crop,16        EC  40       -
asked about  plant protection,spray carbendizium  2gmlt
Weather Condation,Overcast and showersPrecip chance: 36Humidity: 85
fertilizers,roundoff
ROT IN GR NUT,DRENCHING OF COC
Farmer asked query on Weather,SIKAR   NEEM-KA-THANA      LIGHT                    35    25     8
TELL ME DISEASE CONTROL IN groundnut,SPRAY OF MENCOZEB 2 GM PER LITER WATER
