QueryText,KccAns
Leaf eating caterpillar in groundnut,recommended for spray of Chlorpyriphos at the rate of 2 ml  neem oil 3 ml  teepol 1 ml in litre of water to manage caterpillar in groundnut
FLOWERING OF GREEN GRAM,FLOWERING OF GREEN GRAM-SPRAY PLANOFIX 1ML PER 5LITRE WATER
root rot in groundnut,Recommended for drench with copper oxy chloride 25 g litre
Asking about Tobacco caterpillar management in groundnut,Recommended for spray chloripyriphos 2 mllit of water
Asked about nutrient management in  groundnut,Suggested to spray micronutrient or samrudhi special at 3 gram per liter water
Asking fertiliser in groundnut,Prefer 125-25kgNPha
foliar spray management for groundnut,recommended for the spray  urea 10 gm feso4 5gm lit of water
Farmer asked termitewhite grub control information of ground nut crop,20       40
fertiliser in groundnut,35kg DAP4kg urea27kg potash
COLLAR ROT IN GROUNDNUT,RECOMMENDED TO SPRAY RIDOMIL 25 GM LIT WATER FOR CONTROL OF COLLAR ROT IN GROUNDNUT
aphid in groundnut,Recommended for spray Dimethoate 2ml  lit
groundnut block  spot,recomended for saff 400 gracr
Asked about groundnut seed dormancy period for groundnut,:        :  2
GROUND MARKET MARKET INFORMATION,4190
Ground nut Tobacco caterpillar control,Recommended for spray chlorpyriphas  2 ml  lit of water
Farmer Asked sucking pests control information,WG -
Information about insect control in groundnut crop,50  15-2
Ask bout use fertilizer information in Groundnut crop,25     90  3
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN ground nut - about AMMONIUM SULPHATE,RECOMMENDED TO APPLY 9 KG AMMONIA IN 30 DAYS AFTER SOWING
leaf spot,mancozeb3glit
Attack of Thrips and Jassids,Spray Pegasus 25 gm 15 liter of waterDiafenthiuronSyngenta
leaf curl in groundnut,recommended for spray imidachlopirid 2mllit of water
ask for the drying of groundnut,I suggested for the quinalphos-15 mlpump
Asking about Will there be any harm to cassava from applying foliar nutrient to groundnut,:
GROUNDNUT ROOT ROT MANAGEMENT,Advised to drench the plant base with COC 3 g per lit of water
Damping off Groundnut,Trichoderma psedumonas
Farmer asked Termite problem in crop,SGCG              GR
Asking about Leaf caterpillar control management in Groundnut,:     :   2    1
ground nut root grubs management,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 6 ML per one  litter of water
TELL ME CONTROL OF CUT WARM IN GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
MAUSAM JHANSI,KISAN BHAI JHANSI ME HALKI  VARISH IS SAPTAH HO SAKTI HAIN
NUTRIENT MANAGEMENT IN GROUND NUT,RECOMMENDED TO SPRAY CALCIUM NITRATE 1 KG  ACRE
ask about summer season groundnut variety and sowing time,-                                                                                                               -  -
Ask about groundnut information,:   1
TELL ME SOWING TIME OF  GROUNDNUT,SOWING TIME OF  GROUNDNUT 15 APRIL TO 15 MAY
asking about Groundnut seed treatment information,:       :    4         10
asked about information groundnut,Redomil Gold 30 gmhumic Acid 30 mlMephonaxonmancozebsyngnt
Information about control of leaf spot in Groundnut,WP
Farmer asked Aphid problem in groundnut crop,50    -
ASKED ABOUT VARIETIES OF GROUNDNUT,VARIETIES OF GROUNDNUT- WESTRAN-44 AND WESTARN-55
ground nut alternaria blight disease management,RECOMMENDED TO SPRAY CHLOROTHALANIL  400 GRAMS PER ACRE
about thrips cantrol in soyabean,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
FARMER ASKED ABOUT VARITIES OF GROUND-NUT CROP,-  -           -  -   -   -
Ask about fertilizer dose in groundnut crop,10  12
pest contorol in groundnut,USE QUINOLFOS 5 G 25 KG PER HA IN SOIL FOR CONTROL OF WHITE GRUB IN GROUNDNUT
askign about groundnut root  rot management,recommended for apply pseudomonas fluorescens - 1 kg  20 kg FYM  ACRE
moongphali prajati ki jankari,moongphali prajati ki kaushal T  G37A  ginar3 laga sakte hai
weed management in Groundnut,weed management in Groundnut-apply Targasuper-2mllit of water
Ask about fungus problem in groundnut crop,WDG
Information regarding weather,Some clouds some chances of rainfall
Asked about plant protection in  GROUNDNUT,Suggested to spray:-  SECTIN  FENAMIDONE  MANCOZEB:- 1glit for blight
SEED RATE,USE 30-35 KG SEEDS  YEKAR
Ask about Sowing Time And Varieties of Groundnut crop,-  --  -- :-  :- -  -  -3233  :-  -  -  -
TELL ME ABOUT WATER MANAGEMENT IN GROUNDNUT,--      25  30
asking about white grub management in groundnut,recommended for mettarizm 1 kg mixed with 50 kg of FYM acre
Asking about Foliar nutrient spray for groundnut,Recommended for spray DAP 2 kg acre at 30 days after sowing
GROUND NUT TOBACCO CATERPILLAR MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 150 LITRES OF WATER  ACRE
ground nut tikka leaf spot,recommended for  spraying of carbendazim  mancozeb 2 gm lit of water
root rot management in ground nut,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
Stem rot in groundnut,Spray Headline 100 mlAcre
ASKING ABOUT THE WEATHER  REPORT OF PATASHPUR-2 BLOCKEAST MIDNAPUR,POSSIBILITIES OF NO RAINFALL AND SOME CLOUDY WEATHER IN COMING 3 DAYS
TELL ME INSECT CONTROL,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
Farmer asked Organic Sucking pests and larvae control in groundnut  crop,40         ppm
asked about groundnut storage,recommended to spray malathion to the bags
ASKED ABOT FERTILIZER FOR GROUNDNUT,MOP 1   SULFER      DYA
black root in groundnut,bawaestin 250gmbeegha
asking abt the control of wilt in gnut,i have suggested to spray m-45
SUCKING PEST IN GROUNDNUT,SUCKING PEST IN GROUNDNUT- SPRAY NEEM OIL 5ML PER 1 LITRE DETERGENT WATER
Ask about sowing time,June-July
