QueryText,KccAns
groundnut varieties,groundnut varieties -tag 24sb11
Farmer asked query on Weather,-THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
seed rate of groundnut,recommended for seed rate of groundnut kernels is 125 kgha
ROOT BORER IN GROUNDNUT,APPLY CARBOFURAN  10-12 KGECOD
farmer wabts to know information about weed control of groundnut crop,I
25 june ko moogfali buai ki gayi aur kuchh din baad barsaat ho gayi kya barsaat ka pani prabhavit karega,barsaat ka pani moogfali par koi prabhav nahi padega
Asking about tobacco caterpillar in Groundnut,Recommended for spray profenophos 2ml  teepol 1ml  neemoil 3mllit of water
CONTROL OF NEMATODE IN GROUNDNUT,RECOMMENDED FOR APPLY  CARBOFURAN 3G  3-4 KG BIGHA
Asked about SMS Activation,Your Registration process successfully Activation completed
GROUNNDNUT VARIETIES,GROUNNDNUT VARIETIES -FULE PRAGATI KOPARGAON 1
about weather infarmation,apke yaha 67 ko barish ki sambhawna hai
seed treatment for groundnut,treated with carbendazim 2 g  kg of seeds
TELL ME WHITE GURB CONTROL IN GROUND NUT CROP,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
Farmer asked query on Weather,:   -         -
soil test,ag college
TELL ME MANDI RATE OF GROUNDNUT,SARDAR SHAHARGROUNDNUT WHITE3907 RSQ
askign about groundnut aphids managemen t,recommernded for spray azadirachtin - 3 ml lit of water
asking about drought management in groundnut,recommended for spray ppfm 2 mllit of water
Asking about preventive measures to be taken for the control of fungal diseases during rainy season,:      :     10
FARMER ASKED QUERY ON WEED MANAGEMENT IN GROUNDNUT,RECMMENDED TO SPRAY IMAZITAPYR  IMAZAMAX ODISSI-40 GRAMS PER 200 LITERS OF WATERACRE
plz tell me weather information,20 september tak halki barish ki sambhavana hai
sowing date,15 feb
Groundnut plant protection,Rocket  Profenophos Cypermetharin 40 ml pump
planting time of groundnut,planting time of groundnut - 15 january-15feb
Moongphali ka bij kahan se milega,Bij kee dukanon rajkiy bij bhandar  se sampark karen
Farmer asked fungus in root control information of g nut crop,EC        -
Asking about Growth regulator spray for Groundnut,:   :  2    05
MOONGPHALI ME KEEDA LAG RAHA HAI,APPLY CARBOFURAN-10 KG ACRE
Asked about mosaic management for groundnut sucking pest,:       : :     05     1
Asked about management of leaf spot in groundnut,:        :  2  1
Ask about groundnut sucking pest control,SP 20-25
Ask about fertilizer dose in groundnut crop,---    100
Farmers query about  control of Tobacco  Catterpillar in  Groundnut,145        -
TELL ME SEED RATE OF GROUNDNUT,SEED RATE Use 125 kgha of kernels Increase the seed rate by 15 in the case of bold seeded varieties
TELL ME ABOUT INSECT CONTROL IN    PEANUT,25   4
Farmer asked about groundnut variety,--  :              -        -  -    -  -      -                -              -             -
FARMER ASKED ABOUT PEST CONTROL IN GROUNDNUT,12   63    2
weed management  in ground nut after 35 das after sowing,go for hand weeding
ask abt larver problem,suggested roger or monocrotophos 20 mlpump
TELL ME GURB CONTROL IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
ground nut seed treatment,recommended to seed treatment mancozeb 3gm  kg of seed
affter 20days weed management in groundnut,QUIZALOPOP ETHYLTARGA SUPER 400 ML PER ACRE
GROUND NUT VARIETIES,GROUND NUT : KADIRI-6 KADIRI-9 ABHAYA NARAYANI VEMANA
Asking about Groudnut root rot management,:       :   1        20
Ask about Tikka disease in groundnut,WP -
Asked about leaf folder  beetle management in groundnut crop,:         :  2      1
SUCKING PEST MANAGEMENT I N GROUND NUT,RECOMMENDED TO SPRAY DIMETHOATE ROGORE  400 MLACRE 2 ML1 LTR OF WATER
TELL ME ABOUT ROOT ROT CONTROL IN GROUNTNUT,250
season of sowing for groundnut,recommended season of sowing for groundnut nov-dec
attack of tikka on Groundnut,25   15
