QueryText,KccAns
FERTILIZER,DAP
Asking about groundnut stemrot managment,1  20
Asking about Ground nut top dressing fertilizer management,Recommended for apply urea 5 kg potash 15 kg ac
Caterpillar Attack,Spray Coragen 5ml15 Lit of Water
tikka in groundnut,spray ridomil gold 25 gm  lt water for tikka in groundnut
Asking about Tobacco caterpillar management in groundnut,:    : :
asking about Tobacco caterpillar in groundnut,Recommended for spray profenophos 2ml  neem oil 3ml  teepol 1ml  lit of water
Asking about Groundnut leaf miner management,:    :  :     2
Farmer asked about sucking pest on groundnut,5 SC  15
TELL ME SEED TREATMENT IN  GROUNDNUT,CARBENDAZIM 2 GM PER KG SEED IN GROUNDNUT
Ask about variety information in Groundnut crop,-20     -22
Ask for ground nut wilt,I hv suggested karbedizem 20gmpump
LEAF YELLOWS,MANCOZEB
TIKKA AND RUST IN GROUNDNUT,RECOMMENDED TO SPRAY CHLOROTHALANILKAVACH DACONIL BRAVO  400 GRAMS PER ACRE
gnut root wilt control,drenching carbaNDAZIM 5 GMPUMP
var of g nut,TAG-24 SB-11
TELL ME WEATHER REPORT DAUSA,LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS
Farmer asked Thrips  larvae control information of groundnut,5  25
Asking about groundnut basal fertilizer management,:    : DAP 50    75
root rot damage in ground nut,recommended to spray copper oxi chloride 600 gramsacre
TELL ME ABOUT TERMITE CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 ML PER KG SEED FOR SEED TREATMENT IN GROUNDNUT
farmer inquired about control measure for sucking pest in groundnut,to control sucking pest in groundnut Spray Actra 5 gm bavistin 30gm   15 Lit of Water
Asking about Rhizobium application for groundnut crop,:      :     20
ASKED ABOUT YELLOWING IN GROUNDNUT,-
TELL ME CONTROL WHIET GRUB OF GROUNDNUT,USE-CALOROPAIRIPOS 4LITTERHAC
plant protection,spray fenvalarate 1mll
Asking about Groundnut leaf miner management in groundnut,Recommended for spray chloriphyriphos 2 ml  1 lit of water
TELL ME DISEASE CONTROL IN PEANUT,12   63    2
CALOR ROOT IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
Asked about plant protection in Groundnut,Recommended to Spray Acephate or Dimethoate  2glit of water for sucking pests
Farmer asked query on Weather,5        28  29
WEED MANAGEMENT IN GROUND NUT,RECOMMENDED TO SPRAY PENDIMETHALIN 1 LITRE 200 LITRES OF WATER ACRE
Yallow leaf in groundnut,Spray of carbendazim  25 g per liter water
DHAN ME GIDAR KI PROBLUM,KISAN BHAI- : Quinalphos 25EC KI 2 ML LITER PAANI ME MILAKER  SPRAY KARE
asking about Groundnut TNAU foliar application,:       :         2  200
GROUND  NUT RUST MANAGEMENT-,GROUND  NUT RUST MANAGEMENT-RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS  ACRE
ASKED ABOUT VARIETIES OF GROUNDNUT,VARIETIES OF GROUNDNUT - PHULE BHARATI
ground nut fertilizer management,200                45
Asked about the soil must be moist when spraying the insecticide,:         :
Asking about groundnut fertilizer management,recommended for the fertilizers : urea 6 kg potash 12 kg gypsum  75 kg acre
ask gnut yallowleaf,I suggest hirakashi 100gm  citric  acid 10gm
plant protection,acephate2gmliterwater
moong fali me jad sukh rhi h,kisan bhai moongfali ki kheti ke liye fasal chakra apnayeor sij ko upcharit karke boe
Asking about Weed management for Groundnut and Brinjal,:        :
askf or groundnut helioyhis information,suggest: spray quinalphose 20mlpump
information regaring varieties of groundnut,information regaring varieties of groundnut hm-4punjabmoongfali -1
thrips on ground nut,limboli ark 15 mili liter
plant ptotection,saaf2gmlit
VARIETIES OF GROUNDNUT,GG-20HNG-10
sowing time of groundnut,sowing time of groundnut last week of june to july
