QueryText,KccAns
TELL ME VARIETIES IN GROUNDNUT,TG-37CHANDRA
Asked about to verticillium lecanii 115 wp,-
ASKED ABOUT FERTILIZER USE IN GROUNDNUT,- -
ASKING ABOUT FERTILISER DOSE FOR,UREA 1 BAG  SINGLE SUPER PHOSPHATE 75 KG  MICRO NUTRIENTS 10 KGACRE
weed management in groundnut,khet ki nirai gudai kare
FERT DOSE FOR GROUNDNUT,APPLY 65 KG SUFLA 65 KG SUPER PHOSPHATE PER ACRE
mug phalli me dimak lagi hai,Thiomethoxam 25 WG doseacre : 200 gmacre
tobacco caterpillar  management in groundnut,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG ACRE
Asked about thrips management in onion,:      :10    4
Attack of Caterpillar-,Spray Chloropyriphos 30ml15 Liter of Water
Ask about Plant Growth Retardant Informationin groundnut,-
piliya in groundnut,feresh sulphate 5 ml par liter water
TELL ME ABOUT TERMITE CONTROL IN  GROUNDNUT,178   1
Information about weather,Kisan bhai aapke shetra mein 5 june se 10 june mein barish ki sambhavna nahi hai
Asking for registration,registration is successfully done
Groundnut planting season,Recommended for Groundnut planting season Karthigaipattam Nov- DecPurattasipattam Sep- Oct
Ask about fungus problem in Root,Suggested: Metalaxyl 8  Mancozeb 64 wp Redomil MZ  Master 35 grampump Spray
ground nut root rot,RECOMMENDED TO SPRAY 30 GRAMS COPPER OXY CHLORIDE 1 GRAM STREPTOCYCLIN PER 10 LITRES
Ask about nano urea,30
TELL ME CONTROL OF TERNITE IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Ask about sucking pest problem in groundnut,40         ppm
ASKED ABOUT TO DISEASE CONTROL IN   GROUNDNUT,50  250
Asked about Groundnut oilcake information,:      : Groundnut oilcake
Farmer wants to know information about How to control of fungal attack in crop,Recommended for to control of fungal attack spray carbandazim  mancozeb 40gmand streptocyclin 2 gram at 15 liter of water
ASKING ABOUT CONTROL OF FLOWER DROP IN GROUND NUT,R SPRAY   N-TRIACONTANOL   1 ML  3 LIT OF WATER
Asked about leaf spot management in groundnut,:     : :  5 ml
WHITE GRUB IN GROUNDNUT,APPLY CARBOFURAN 3G  10 KG  1 ACRE OF LAND FOR CHECKING WHITE GRUB IN GROUNDNUT
TELL ME SEED TREATMENT IN GN,USE CHLOROTHELONIL 25 GM PER KG SEED
FERTILIZER FOR g nut,-1225
ask about fungus and insect pest problem in Groundnut,ZC
disease control in ground nut crop,copper oxicloride 25 gramliter pani me ghol banakar chidcaav kare
Farmer asked query on Weather,JASADAN
TELL ME SOWING TIME OF COTTON,APRIL -JUNE
ask about sucking pest,Suggested: FiSpronil 5 C 25mlpump spray
ask for the water management in groundnut,provide the information for the watermanage ment of groundnut
FERTILIZER DOSE IN GROUNDNUT,FERTILIZER DOSE IN GROUNDNUT- APPLY 30KG GODAVARI GOLD ORGANIC FERTILIZER PER 1 ACRE AREA
shoot borer,quinqlphos 2mlltr
TELL ME UREA FOR TOP DRESSING IN GROUNDNUT,DOSE OF UREA FOR TOP DRESSING IN GROUNDNUT  30 KG PER HA
THIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY CHLOROTHALANIL  400 GRAMS PER ACRE
Asking about soil  foliar application of panchakavya in groundnut,:         :     20        30
Stem rot problem in Groundnut,Copper Oxychloride 50 WP 3 gramliter ka ghol bna ke spray kare
pp,Apply HaNPV 1ml2lichloropyriphos 3ml or Imidacloprid 2ml lit of water
seed treatment of ground nut,3 GRAMS MANCOZEB DITHANE M-45 INDOFIL M-45 MANJET or THAIRAM THIRIDE THAIRAM PER KG OF SEED
ASKED ABOUT VARIETIES OF GROUND,VARIETIES OF GROUNDDAPTARITJ 26
to control soil borne insect in groundnut -,Recommended to dust  Chloropyriphos 15  DP  10 kg per acre for control of soil borne insect in groundnut
TERMITES IN GROUND NUT,RECOMENDED TO APPLY METHYL PARATHION 25DP AS SOIL APPLICATION TO CONTROLL TERMITES IN GROUND NUT
TELL ME STEM ROT CONTROL IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
root grub,recommended thimmet 5kgacre
Farmer Asked sucking pests control information of ground nut,ZC
Farmer asked miteredmiteant Problem in crop,EC
Asked about varieties of Groundnut,-   -     -
ASKED ABOUT INFORMATION  GROUNDNUT,WESTERN -55   PHULE PRAGATI VAN LAGVAD KARA
ask for groundnut white grub information,suggest: drenching with cloropayriphose 25mlpump
GROUNDNUT ZINC DEFICIENCY,GROUNDNUT ZINC DEFICIENCYZINC SULPHATE 20 KGS PER ACRE
TELL ME APHID CONTROL IN GROUNDNUT,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
Sowing season for ground nut,Recommended for season May- June
Need information for disease control in groundnut,50   25
Asked about seed treatment in groundnut,75 WP: 25 KG      :
FARMER ASKED ABOUT FERTILIZER DOSE ON GROUNDNUT CROP,-- 0::      30
attack of Caterpillar,Spray Proclaim  8 gm15 liter of WaterEmamectin BenzoateSyngenta
GROUND NUT FERTILISER DOSAGES,GROUND NUT FERTILISER DOSAGES :   RECOMMENDED TO APPLY UREA  20 KGS    MURATE OF POTASH 10 KGS  ACRE
Ask for groundnut fungus,i suggested to spray mancozeb 35 grampump
CONTROL OF TIKKA DISEASE GROUND NUT,RECOMMENDED FOR SPRAY  TRIFLOXYSTROBIN 50 WDG  15 GM  LITER OF WATER
groundnut pest,chloropyriphos 2 ml per liter
STEM ROT IN GROUNDNUT,STEM ROT IN GROUNDNUT--RECOMMENDED TO SPRAY MANCOZEAB 63CABENDAZIM 12 WP SIXER  2 GM LIT WATER FOR CONTROL OF STEM ROT IN GROUNDNUT
TELL ME ABOUT INSECT CONTROL,DUSTING OF METHYL PARATHIAN 2 25 KG PER HA
Farmer asked query on Weather,BIKANER   SRI-DUNDARGARH                        38    26     9
Asking about seed rate for groundnut,recommended seed rate for groundnut is 50 kg  ac
Ask About Fertilizer application in Ground nut crop,100
Information about seed treatment of groundnut seed,Carbendazim 50 WP  2  25
asking about fertilizer  in groundnut,application of ssp 1 bag gypsum 100kgacre
VARIETIES OF GROUNDNUT,TMV-1 TMV-3TMV-84
farmer asked about nutrient management in ground nut,recommended to apply UREA  9 kg  per acre at 25-30 days after sowing
ask for Groundnut leaf miner,Recommended for spray chloropyriphos 3mllit of water
TEL ME LEAF MINER CONTROL IN GROUNDNUT,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER
BANANA DISEASE,CARBENDIZIUM 2GM PER LITER WATER DRENCH AROUND STEM
Aphids in groundnut,Spray rogor 2 mili in 1 litre water in 5 to 8 days interval
attack of aphid,Spray Actra 5 gm Bavistane 30 gm15 Liter of Water
Farmer asked Heliothis Larvae Problem in Groundnut crop,EC 0
asking ssp fretilizer doses in summer gnut after sowing,I suggeted to 40 kg per acer
Farmer asked about fertilizer application time in groundnut,Recommended to apply Phosphatic and Potash fertilizers during last ploughing and apply Nitrogen fertilizer just before sowing
TELL ME CATERPILLAR  CONTROL IN GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
groundnut gypsum dose,gypsum 100kgacre
TEMITES IN GNUT,USE CHLOROPYRIPHOS 4 LITER PER HA  TERMITE CONTROL IN GROUNDNUT
Asking about Rat management in groundnut,Recommended for put zinc phosphide with food items
asking about growth regulator spray for groundnut,recommended for apply TNAU GROUNDNUT RICH is 2 kg  acre
TELL ME SEED TREATMENT,FIR--FUNGISIDE-INSECTISIDE-RAIJOBIUM CULTURE
Pleas give information of  termite infestation in paddy,Chlorpyriphos 20 EC 25 literhecter sichai kr  paani me lada de
ask for groundnut tikka disease information,suggest: spray fungiside mancozeb 35gmpump
farmer wants to know about the control of harmful effect of weedicide in groundnut crop,100
Ask about fungus problem,suggest:mancozeb 30 gm per pamp and to sprey
zinc deficiency problem in groundnut,recommended to spray of zinc sulphate 2 grams per litre
insect control in groundnut,aap Dimethoate 30 EC ki 2 ml matra ko prati liter paani ki dar se milaker spray kar de
TELL ME CONTROL OF ROOT ROT IN GROUNDNUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
Information about top dressing in Peanuts,-20    8 - 10
Asking about Early leaf spot management for Groundnut Power sprayer use-one acre dosage,Query:Early leaf spot management for Groundnut Power sprayer use-one acre dosage Answer: spray Saaf Carbendazim Mancozeb 2 gram 1 litre of water
